"id","name","castealias","castes__id","castes__name"
"1","Hindu","Caste","0","-- Select --"
"","","","1","Ad Dharmi"
"","","","2","Adi Andhra"
"","","","3","Adi Dravida"
"","","","4","Adi-karnataka"
"","","","5","Agarwal"
"","","","6","Agnikula Kshatriya"
"","","","7","Agri"
"","","","8","Ahir Shimpi"
"","","","9","Ahom"
"","","","10","Ambalavasi"
"","","","11","Arekatica"
"","","","12","Arora"
"","","","13","Arunthathiyar"
"","","","14","Arya Vysya"
"","","","15","Ayyaraka"
"","","","16","Badaga"
"","","","17","Bagdi"
"","","","18","Baidya"
"","","","19","Baishnab"
"","","","20","Baishya"
"","","","21","Bajantri"
"","","","22","Balija"
"","","","23","Banayat Oriya"
"","","","24","Banik"
"","","","25","Baniya"
"","","","26","Baniya - Bania"
"","","","27","Baniya - Kumuti"
"","","","28","Banjara"
"","","","29","Barai"
"","","","30","Bari"
"","","","31","Baria"
"","","","32","Barujibi"
"","","","33","Besta"
"","","","34","Bhandari"
"","","","35","Bhatia"
"","","","36","Bhatraju"
"","","","37","Bhavasar Kshatriya"
"","","","38","Bhoi"
"","","","39","Bhovi"
"","","","40","Bhoyar"
"","","","41","Billava"
"","","","42","Bishnoi/Vishnoi"
"","","","43","Bondili"
"","","","44","Boyer"
"","","","45","Brahmbatt"
"","","","46","Brahmin"
"","","","47","Brahmin - Anavil"
"","","","48","Brahmin - Audichya"
"","","","49","Brahmin - Barendra"
"","","","50","Brahmin - Bhatt"
"","","","51","Brahmin - Bhumihar"
"","","","52","Brahmin - Daivadnya"
"","","","53","Brahmin - Danua"
"","","","54","Brahmin - Deshastha"
"","","","55","Brahmin - Dhiman"
"","","","56","Brahmin - Dravida"
"","","","57","Brahmin - Embrandiri"
"","","","58","Brahmin - Garhwali"
"","","","59","Brahmin - Gaur"
"","","","60","Brahmin - Goswami"
"","","","61","Brahmin - Gujar Gaur"
"","","","62","Brahmin - Gurukkal"
"","","","63","Brahmin - Halua"
"","","","64","Brahmin - Havyaka"
"","","","65","Brahmin - Hoysala"
"","","","66","Brahmin - Iyengar"
"","","","67","Brahmin - Iyer"
"","","","68","Brahmin - Jangid"
"","","","69","Brahmin - Jhadua"
"","","","70","Brahmin - Jyotish"
"","","","71","Brahmin - Kanyakubj"
"","","","72","Brahmin - Karhade"
"","","","73","Brahmin - Khandelwal"
"","","","74","Brahmin - Kokanastha"
"","","","75","Brahmin - Kota"
"","","","76","Brahmin - Kulin"
"","","","77","Brahmin - Kumoani"
"","","","78","Brahmin - Madhwa"
"","","","79","Brahmin - Maithil"
"","","","80","Brahmin - Modh"
"","","","81","Brahmin - Mohyal"
"","","","82","Brahmin - Nagar"
"","","","83","Brahmin - Namboodiri"
"","","","84","Brahmin - Narmadiya"
"","","","85","Brahmin - Niyogi"
"","","","86","Brahmin - Paliwal"
"","","","87","Brahmin - Panda"
"","","","88","Brahmin - Pandit"
"","","","89","Brahmin - Pareek"
"","","","90","Brahmin - Pushkarna"
"","","","91","Brahmin - Rarhi"
"","","","92","Brahmin - Rigvedi"
"","","","93","Brahmin - Rudraj"
"","","","94","Brahmin - Sakaldwipi"
"","","","95","Brahmin - Sanadya"
"","","","96","Brahmin - Sanketi"
"","","","97","Brahmin - Saraswat"
"","","","98","Brahmin - Saryuparin"
"","","","99","Brahmin - Shivhalli"
"","","","100","Brahmin - Shrimali"
"","","","101","Brahmin - Sikhwal"
"","","","102","Brahmin - Smartha"
"","","","103","Brahmin - Sri Vishnava"
"","","","104","Brahmin - Stanika"
"","","","105","Brahmin - Tyagi"
"","","","106","Brahmin - Vaidiki"
"","","","107","Brahmin - Vaikhanasa"
"","","","108","Brahmin - Velanadu"
"","","","109","Brahmin - Vyas"
"","","","110","Brajastha Maithil"
"","","","111","Brajastha Maithil"
"","","","112","Bunt (Shetty)"
"","","","113","CKP"
"","","","114","Chalawadi and Holeya"
"","","","115","Chambhar"
"","","","116","Chandravanshi Kahar"
"","","","117","Chasa"
"","","","118","Chattada Sri Vaishnava"
"","","","119","Chaudary"
"","","","120","Chaurasia"
"","","","121","Chennadasar"
"","","","122","Chettiar"
"","","","123","Chhetri"
"","","","124","Chippolu (Mera)"
"","","","125","Coorgi"
"","","","126","Devadiga"
"","","","127","Devandra Kula Vellalar"
"","","","128","Devang Koshthi"
"","","","129","Devanga"
"","","","130","Devrukhe Brahmin"
"","","","131","Dhangar"
"","","","132","Dheevara"
"","","","133","Dhiman"
"","","","134","Dhoba"
"","","","135","Dhobi"
"","","","136","Dhor / Kakkayya"
"","","","137","Dommala"
"","","","138","Dumal"
"","","","139","Dusadh (Paswan)"
"","","","140","Ediga"
"","","","141","Ezhava"
"","","","142","Ezhuthachan"
"","","","143","Gabit"
"","","","144","Ganda"
"","","","145","Gandla"
"","","","146","Ganiga"
"","","","147","Garhwali"
"","","","148","Gatti"
"","","","149","Gavara"
"","","","150","Gawali"
"","","","151","Ghisadi"
"","","","152","Ghumar"
"","","","153","Goala"
"","","","154","Goan"
"","","","155","Gomantak"
"","","","156","Gondhali"
"","","","157","Goud"
"","","","158","Gounder"
"","","","159","Gowda"
"","","","160","Gramani"
"","","","161","Gudia"
"","","","162","Gujjar"
"","","","163","Gupta"
"","","","164","Guptan"
"","","","165","Gurav"
"","","","166","Gurjar"
"","","","167","Halba Koshti"
"","","","168","Helava"
"","","","169","Hugar (Jeer)"
"","","","170","Intercaste"
"","","","171","Irani"
"","","","172","Jaalari"
"","","","173","Jaiswal"
"","","","174","Jandra"
"","","","175","Jangam"
"","","","176","Jangra - Brahmin"
"","","","177","Jat"
"","","","178","Jatav"
"","","","179","Jetty/Malla"
"","","","180","Jogi (Nath)"
"","","","181","Kachara"
"","","","182","Kadava Patel"
"","","","183","Kahar"
"","","","184","Kaibarta"
"","","","185","Kalal"
"","","","186","Kalanji"
"","","","187","Kalar"
"","","","188","Kalinga"
"","","","189","Kalinga Vysya"
"","","","190","Kalita"
"","","","191","Kalwar"
"","","","192","Kamboj"
"","","","193","Kamma"
"","","","194","Kansari"
"","","","195","Kapu"
"","","","196","Karana"
"","","","197","Karmakar"
"","","","198","Karuneegar"
"","","","199","Kasar"
"","","","200","Kashyap"
"","","","201","Katiya"
"","","","202","Kavuthiyya/Ezhavathy"
"","","","203","Kayastha"
"","","","204","Khandayat"
"","","","205","Khandelwal"
"","","","206","Kharwa"
"","","","207","Kharwar"
"","","","208","Khatri"
"","","","209","Kirar"
"","","","210","Kokanastha Maratha"
"","","","211","Koli"
"","","","212","Koli Mahadev"
"","","","213","Koli Patel"
"","","","214","Kongu Vellala Gounder"
"","","","215","Konkani"
"","","","216","Korama"
"","","","217","Kori"
"","","","218","Kosthi"
"","","","219","Krishnavaka"
"","","","220","Kshatriya"
"","","","221","Kudumbi"
"","","","222","Kulal"
"","","","223","Kulalar"
"","","","224","Kulita"
"","","","225","Kumawat"
"","","","226","Kumbhakar"
"","","","227","Kumbhar"
"","","","228","Kumhar"
"","","","229","Kummari"
"","","","230","Kunbi"
"","","","231","Kuravan"
"","","","232","Kurmi"
"","","","233","Kurmi Kshatriya"
"","","","234","Kuruba"
